Comparing the logarithm of the execution time of various implementations of efficient sorting algorithms on Ubuntu for different sortedness of the input of size 15'000.
s	C++ "sort" directive	MergeSort in AEC	MergeSort in ADA	MergeSort in C	QuickSort in AEC	QuickSort in ADA	QuickSort in C
-0.166689	2.3979	6.63068	3.93183	2.94444	5.73334	3.2581	5.33272
-0.178024	2.3979	4.90527	3.21888	1.79176	5.72359	4.30407	5.40717
-0.165355	2.3979	6.62672	3.97029	2.83321	5.743	3.2581	5.33272
-0.174557	2.3979	4.90527	3.21888	1.94591	5.87774	4.46591	5.66988
-0.168556	2.30259	6.63068	4.00733	2.77259	5.75574	3.2581	5.33754
-0.156021	2.30259	4.92725	3.21888	1.94591	5.8522	4.17439	5.35186
-0.143619	2.3979	6.63332	3.98898	2.77259	5.70711	3.2581	5.34233
-0.158688	2.3979	4.90527	3.21888	1.79176	5.63479	4.45435	5.81711
-0.145086	2.30259	6.63463	4.09434	2.99573	5.72359	3.2581	5.33272
-0.139485	2.3979	4.90527	3.21888	1.94591	5.51343	4.47734	5.49717
-0.142686	2.3979	6.63332	3.97029	2.83321	5.70711	3.2581	5.33272
-0.137885	2.30259	4.90527	3.21888	1.94591	5.52943	4.33073	5.53339
-0.127617	2.30259	6.62804	3.95124	2.77259	5.74939	3.2581	5.33272
-0.130017	2.3979	4.90527	3.21888	1.79176	5.70044	4.31749	5.39363
-0.12375	2.3979	6.63463	4.02535	2.99573	5.60212	3.2581	5.32788
-0.113082	2.3979	4.92725	3.21888	1.94591	5.63121	4.39445	5.51343
-0.115349	2.30259	6.64118	3.8712	2.99573	5.69036	3.2581	5.34233
-0.106948	2.30259	4.91265	3.21888	1.79176	5.65599	4.5326	5.79909
-0.120016	2.3979	6.63988	3.95124	2.99573	5.72685	3.2581	5.33754
-0.117882	2.3979	4.90527	3.21888	1.94591	5.42495	4.41884	5.55683
-0.10348	2.30259	6.62141	4.11087	2.83321	5.69709	3.2581	5.33272
-0.0982798	2.30259	4.91265	3.21888	1.79176	5.55296	4.41884	5.86079
-0.104281	2.30259	6.63988	3.97029	2.56495	5.5835	3.21888	5.33754
-0.103347	2.3979	4.89784	3.2581	1.94591	5.50126	4.49981	5.52943
-0.0852113	2.30259	6.63988	3.91202	2.56495	5.67675	3.2581	5.33272
-0.0981464	2.30259	4.93447	3.21888	1.94591	5.40717	4.33073	5.92158
-0.0912122	2.30259	6.63068	3.97029	2.77259	5.71373	3.2581	5.34711
-0.0898787	2.30259	4.91265	3.21888	1.94591	5.42053	4.44265	5.56452
-0.0886785	2.30259	6.63857	3.8712	3.09104	5.61677	3.2581	5.33754
-0.0852113	2.3979	4.89784	3.2581	1.79176	5.28827	4.57471	5.97126
-0.0820109	2.3979	6.63595	3.91202	3.04452	5.67332	3.29584	5.38907
-0.0832111	2.3979	4.91998	3.21888	1.79176	5.70711	4.44265	5.38907
-0.0782771	2.30259	6.63726	3.91202	2.99573	5.61313	3.2581	5.33754
-0.0681424	2.3979	4.89784	3.2581	1.94591	5.45104	4.46591	5.59099
-0.077877	2.3979	6.63595	3.91202	2.99573	5.60212	3.2581	5.33272
-0.0690759	2.3979	4.91998	3.29584	1.79176	5.2933	4.43082	5.98645
-0.077077	2.30259	6.63332	3.95124	2.48491	5.65599	3.2581	5.35186
-0.0669423	2.3979	4.91265	3.21888	1.94591	5.46383	4.38203	5.56068
-0.0640085	2.3979	6.63726	3.93183	2.89037	5.65249	3.29584	5.36598
-0.062275	2.3979	4.91265	3.21888	1.79176	5.46383	4.48864	5.54126
-0.0644086	2.3979	6.62407	3.98898	2.99573	5.62762	3.2581	5.33754
-0.0644086	2.30259	4.91265	3.21888	1.79176	5.30827	4.45435	5.63835
-0.0533404	2.3979	6.632	4.04305	2.99573	5.65249	3.2581	5.33754
-0.0652087	2.30259	4.91265	3.21888	1.94591	5.47227	4.54329	5.52146
-0.0517402	2.3979	6.62672	3.91202	2.99573	5.65599	3.29584	5.33754
-0.0504067	2.3979	4.89784	3.2581	1.94591	5.50126	4.48864	5.88888
-0.0488065	2.3979	6.62936	3.98898	2.83321	5.67675	3.2581	5.33272
-0.0536072	2.3979	4.91265	3.2581	1.94591	5.42053	4.47734	5.90536
-0.0464062	2.3979	6.63463	4.09434	2.99573	5.54518	3.2581	5.34711
